Player 1,Player 2,Match title,p_win_iid,p_win_dynamic,p1_spw_iid,p2_spw_iid,average_sets,average_sets_iid,average_games,average_games_iid
Jurgen Melzer,Marcel Granollers,Men'sUSOpen.:Jurgen Melzer:Marcel Granollers,0.17285,0.21094,0.585648,0.645089,3.83221,3.90889,37.9961,38.7384
Kei Nishikori,Pablo Andujar,Men'sUSOpen.:Kei Nishikori:Pablo Andujar,0.97221,0.95972,0.664924,0.545547,3.46879,3.48556,32.4974,32.7134
Jerzy Janowicz,Kevin Anderson,Men'sUSOpen.:Kevin Anderson:Jerzy Janowicz,0.02868,0.04242,0.590628,0.715452,3.48063,3.48684,34.2017,34.1665
Kevin Anderson,Pablo Cuevas,Men'sUSOpen.:Kevin Anderson:Pablo Cuevas,0.65717,0.64897,0.674305,0.648026,3.94704,4.07796,41.1236,42.6037
Kei Nishikori,Leonardo Mayer,Men'sUSOpen.:Leonardo Mayer:Kei Nishikori,0.92975,0.91082,0.677863,0.583962,3.62863,3.67545,35.6227,36.0999
Dominic Thiem,Lukas Lacko,Men'sUSOpen.:Lukas Lacko:Dominic Thiem,0.94687,0.92481,0.706721,0.601013,3.58663,3.60963,35.6648,35.9664
Marcel Granollers,Roger Federer,Men'sUSOpen.:Marcel Granollers:Roger Federer,0.00467,0.00655,0.528007,0.693211,3.22901,3.24959,28.9173,29.1984
Illya Marchenko,Marco Chiudinelli,Men'sUSOpen.:Marco Chiudinelli:Illya Marchenko,0.76776,0.72905,0.667286,0.619357,3.89515,3.98027,39.7538,40.6125
Gilles Simon,Marin Cilic,Men'sUSOpen.:Marin Cilic:Gilles Simon,0.23667,0.24612,0.618493,0.66492,3.86666,3.99298,39.2214,40.706
Illya Marchenko,Marin Cilic,Men'sUSOpen.:Marin Cilic:Illya Marchenko,0.09158,0.10262,0.598604,0.684787,3.65912,3.74029,36.3998,37.3147
Kei Nishikori,Marin Cilic,Men'sUSOpen.:Marin Cilic:Kei Nishikori,0.18761,0.23322,0.601137,0.657415,3.85705,3.93693,38.7272,39.5126
Kevin Anderson,Marin Cilic,Men'sUSOpen.:Marin Cilic:Kevin Anderson,0.19091,0.23938,0.606944,0.662765,3.86147,3.93154,39.1201,39.7014
Marin Cilic,Roger Federer,Men'sUSOpen.:Marin Cilic:Roger Federer,0.42736,0.37589,0.658795,0.671077,3.95993,4.11057,41.443,43.2123
Leonardo Mayer,Matthew Ebden,Men'sUSOpen.:Matthew Ebden:Leonardo Mayer,0.96244,0.9451,0.684353,0.570443,3.52759,3.53999,34.0668,34.0797
Matthew Ebden,Tobias Kamke,Men'sUSOpen.:Matthew Ebden:Tobias Kamke,0.39418,0.37268,0.581384,0.597578,3.94358,4.1038,38.9733,40.6083
Matthias Bachinger,Radek Stepanek,Men'sUSOpen.:Matthias Bachinger:Radek Stepanek,0.68486,0.62315,0.660878,0.629816,3.95923,4.05653,40.6632,41.719
Daniel Gimeno-Traver,Michael Llodra,Men'sUSOpen.:Michael Llodra:Daniel Gimeno-Traver,0.15956,0.18881,0.606794,0.671189,3.80522,3.88547,38.368,39.1821
Mikhail Youzhny,Nick Kyrgios,Men'sUSOpen.:Mikhail Youzhny:Nick Kyrgios,0.5076,0.5498,0.65121,0.649609,3.9758,4.11768,41.185,42.6875
Kei Nishikori,Milos Raonic,Men'sUSOpen.:Milos Raonic:Kei Nishikori,0.61714,0.62224,0.692358,0.672474,3.96496,4.09037,42.3027,43.7724
Milos Raonic,Peter Gojowczyk,Men'sUSOpen.:Milos Raonic:Peter Gojowczyk,0.8537,0.83299,0.720755,0.649381,3.78537,3.85643,39.8862,40.6955
Milos Raonic,Taro Daniel,Men'sUSOpen.:Milos Raonic:Taro Daniel,0.99414,0.99073,0.772772,0.601379,3.27457,3.27982,32.1012,32.2255
Milos Raonic,Victor Estrella,Men'sUSOpen.:Milos Raonic:Victor Estrella,0.98323,0.97702,0.754366,0.610234,3.38408,3.40452,33.7571,34.0709
Andreas Seppi,Nick Kyrgios,Men'sUSOpen.:Nick Kyrgios:Andreas Seppi,0.24526,0.29271,0.670904,0.718209,3.92099,3.99647,42.0903,43.1025
Nick Kyrgios,Tommy Robredo,Men'sUSOpen.:Nick Kyrgios:Tommy Robredo,0.24816,0.25725,0.649021,0.694405,3.88935,3.99809,40.7947,42.0188
Nicolas Mahut,Thomaz Bellucci,Men'sUSOpen.:Nicolas Mahut:Thomaz Bellucci,0.25893,0.30382,0.637437,0.679832,3.92069,4.01356,40.6595,41.6344
Andy Murray,Novak Djokovic,Men'sUSOpen.:Novak Djokovic:Andy Murray,0.22509,0.25038,0.578655,0.625742,3.86453,3.97438,38.179,39.2815
Diego Sebastian Schwartzman,Novak Djokovic,Men'sUSOpen.:Novak Djokovic:Diego Sebastian Schwartzman,0.00019,0.00043,0.471862,0.693096,3.08324,3.08149,25.2694,25.2459
Kei Nishikori,Novak Djokovic,Men'sUSOpen.:Novak Djokovic:Kei Nishikori,0.13577,0.12472,0.580803,0.650157,3.70228,3.8418,36.1969,37.876
Novak Djokovic,Philipp Kohlschreiber,Men'sUSOpen.:Novak Djokovic:Philipp Kohlschreiber,0.97446,0.9671,0.719039,0.590266,3.44265,3.46468,33.5487,33.8771
Novak Djokovic,Sam Querrey,Men'sUSOpen.:Novak Djokovic:Sam Querrey,0.99716,0.99473,0.707185,0.530141,3.21033,3.20594,28.8105,28.6587
Andreas Beck,Pablo Carreno-Busta,Men'sUSOpen.:Pablo Carreno-Busta:Andreas Beck,0.08335,0.11487,0.563587,0.650257,3.67678,3.71745,35.6863,35.9503
Benoit Paire,Pablo Carreno-Busta,Men'sUSOpen.:Pablo Carreno-Busta:Benoit Paire,0.20237,0.2621,0.576131,0.627898,3.87905,3.9485,38.342,38.9041
Jo-Wilfried Tsonga,Pablo Carreno-Busta,Men'sUSOpen.:Pablo Carreno-Busta:Jo-Wilfried Tsonga,0.91461,0.90433,0.715274,0.623428,3.65243,3.71365,37.1467,38.0201
Novak Djokovic,Paul-Henri Mathieu,Men'sUSOpen.:Paul-Henri Mathieu:Novak Djokovic,0.99994,0.9998,0.751052,0.506169,3.06909,3.05962,25.8642,25.6418
Adrian Mannarino,Pere Riba,Men'sUSOpen.:Pere Riba:Adrian Mannarino,0.88773,0.8798,0.640037,0.564619,3.69071,3.79621,35.7516,36.9145
Benjamin Becker,Peter Gojowczyk,Men'sUSOpen.:Peter Gojowczyk:Benjamin Becker,0.07754,0.11548,0.584184,0.674376,3.68169,3.70187,36.3022,36.3912
Denis Istomin,Richard Gasquet,Men'sUSOpen.:Richard Gasquet:Denis Istomin,0.16576,0.19101,0.634619,0.699016,3.81706,3.89386,39.4733,40.3738
Gael Monfils,Richard Gasquet,Men'sUSOpen.:Richard Gasquet:Gael Monfils,0.91671,0.8683,0.667133,0.580369,3.71814,3.71641,36.6722,36.4339
Paolo Lorenzi,Richard Gasquet,Men'sUSOpen.:Richard Gasquet:Paolo Lorenzi,0.0294,0.03981,0.57423,0.695562,3.46791,3.4968,33.2993,33.6766
Adrian Mannarino,Roberto Bautista-Agut,Men'sUSOpen.:Roberto Bautista-Agut:Adrian Mannarino,0.14645,0.16827,0.578132,0.644238,3.77405,3.85958,37.0714,37.9817
Andreas Haider-Maurer,Roberto Bautista-Agut,Men'sUSOpen.:Roberto Bautista-Agut:Andreas Haider-Maurer,0.10741,0.09527,0.585113,0.663901,3.63679,3.78079,35.5248,37.315
Roberto Bautista-Agut,Roger Federer,Men'sUSOpen.:Roberto Bautista-Agut:Roger Federer,0.01948,0.02841,0.555268,0.686188,3.40997,3.42881,32.1136,32.2649
Roberto Bautista-Agut,Tim Smyczek,Men'sUSOpen.:Roberto Bautista-Agut:Tim Smyczek,0.96982,0.95263,0.673684,0.555074,3.49328,3.49863,33.1199,33.1328
Gael Monfils,Roger Federer,Men'sUSOpen.:Roger Federer:Gael Monfils,0.09404,0.08792,0.597497,0.682731,3.62179,3.7456,35.8313,37.3547
Marinko Matosevic,Roger Federer,Men'sUSOpen.:Roger Federer:Marinko Matosevic,0.00468,0.00694,0.568094,0.739542,3.24297,3.25195,30.2289,30.5063
Guillermo Garcia-Lopez,Sam Querrey,Men'sUSOpen.:Sam Querrey:Guillermo Garcia-Lopez,0.11844,0.15212,0.627511,0.705551,3.75693,3.80489,38.5528,39.1606
Maximo Gonzalez,Sam Querrey,Men'sUSOpen.:Sam Querrey:Maximo Gonzalez,0.17255,0.1979,0.627573,0.689101,3.82271,3.90714,39.251,40.2022
Albert Ramos,Samuel Groth,Men'sUSOpen.:Samuel Groth:Albert Ramos,0.32144,0.35725,0.684772,0.7171,3.96097,4.05893,43.0504,44.3162
Roger Federer,Samuel Groth,Men'sUSOpen.:Samuel Groth:Roger Federer,0.99051,0.98671,0.75841,0.59975,3.31782,3.32803,32.647,32.7068
Andreas Seppi,Sergiy Stakhovsky,Men'sUSOpen.:Sergiy Stakhovsky:Andreas Seppi,0.84952,0.8195,0.641303,0.576822,3.79022,3.87259,37.3214,38.0765
Simone Bolelli,Tommy Robredo,Men'sUSOpen.:Simone Bolelli:Tommy Robredo,0.36163,0.34553,0.675022,0.699162,3.94943,4.08496,42.2169,43.9292
Jiri Vesely,Stan Wawrinka,Men'sUSOpen.:Stan Wawrinka:Jiri Vesely,0.12084,0.1415,0.618295,0.694888,3.7361,3.81066,37.9995,38.8327
Kei Nishikori,Stan Wawrinka,Men'sUSOpen.:Stan Wawrinka:Kei Nishikori,0.37965,0.39113,0.651979,0.672093,3.97077,4.09355,41.4143,42.8702
Stan Wawrinka,Thomaz Bellucci,Men'sUSOpen.:Stan Wawrinka:Thomaz Bellucci,0.93762,0.91399,0.713839,0.612522,3.62625,3.64613,36.6236,36.8242
Stan Wawrinka,Tommy Robredo,Men'sUSOpen.:Stan Wawrinka:Tommy Robredo,0.75641,0.73406,0.690367,0.644398,3.89756,3.99354,40.6514,41.7768
Martin Klizan,Steve Darcis,Men'sUSOpen.:Steve Darcis:Martin Klizan,0.43938,0.47287,0.62033,0.629609,3.97744,4.11714,40.2554,41.761
Filip Krajinovic,Tim Smyczek,Men'sUSOpen.:Tim Smyczek:Filip Krajinovic,0.24035,0.25082,0.627868,0.673828,3.87494,3.9947,39.5714,41.0785
Dominic Thiem,Tomas Berdych,Men'sUSOpen.:Tomas Berdych:Dominic Thiem,0.02503,0.03515,0.579757,0.707255,3.44585,3.46103,33.2709,33.4684
Lleyton Hewitt,Tomas Berdych,Men'sUSOpen.:Tomas Berdych:Lleyton Hewitt,0.03137,0.04285,0.541607,0.657464,3.47806,3.50617,32.6089,32.8696
Marin Cilic,Tomas Berdych,Men'sUSOpen.:Tomas Berdych:Marin Cilic,0.6791,0.61802,0.653596,0.624199,3.95794,4.0651,40.4994,41.5578
Martin Klizan,Tomas Berdych,Men'sUSOpen.:Tomas Berdych:Martin Klizan,0.08027,0.0934,0.593689,0.683489,3.63679,3.71015,35.9003,36.806
Teimuraz Gabashvili,Tomas Berdych,Men'sUSOpen.:Tomas Berdych:Teimuraz Gabashvili,0.0247,0.03284,0.573096,0.699225,3.43024,3.46516,32.7554,33.2765
Edouard Roger-Vasselin,Tommy Robredo,Men'sUSOpen.:Tommy Robredo:Edouard Roger-Vasselin,0.26165,0.28178,0.613103,0.65389,3.90103,4.01796,39.5053,40.7522
Simone Bolelli,Vasek Pospisil,Men'sUSOpen.:Vasek Pospisil:Simone Bolelli,0.81504,0.79128,0.70317,0.642842,3.84204,3.92031,40.1347,41.0155
Borna Coric,Victor Estrella Burgos,Men'sUSOpen.:Victor Estrella Burgos:Borna Coric,0.2615,0.31402,0.607556,0.648161,3.91936,4.01434,39.5806,40.5143
Igor Sijsling,Victor Estrella,Men'sUSOpen.:Victor Estrella:Igor Sijsling,0.43444,0.45992,0.629642,0.640361,3.979,4.11251,40.6835,42.0454
Kei Nishikori,Wayne Odesnik,Men'sUSOpen.:Wayne Odesnik:Kei Nishikori,0.98453,0.97732,0.670261,0.5353,3.37437,3.39234,31.0957,31.3114
Guillermo Garcia-Lopez,Yen-Hsun Lu,Men'sUSOpen.:Yen-Hsun Lu:Guillermo Garcia-Lopez,0.8086,0.75463,0.633801,0.579379,3.86325,3.93218,38.2335,38.831
